76
56.5	1.082
40.099	76.503
74.784	65.18	1.0
31.427	11.339	1.0
40.744	16.506	1.0
17.278	52.291	1.0
9.625	70.436	1.0
42.802	11.361	1.0
18.424	0.819	1.0
43.239	28.474	1.0
43.359	42.626	1.0
0.953	47.337	1.0
17.494	16.451	1.0
26.776	58.452	1.0
0.297	37.791	1.0
38.226	25.156	1.0
57.713	64.99	1.0
8.477	65.626	1.0
32.294	73.795	1.0
22.914	48.145	1.0
47.802	36.827	1.0
34.277	48.764	1.0
16.468	25.19	1.0
63.71	40.673	1.0
30.638	22.526	1.0
71.176	40.984	1.0
23.662	43.667	1.0
74.129	61.513	1.0
71.054	34.613	1.0
48.953	5.181	1.0
57.016	50.567	1.0
62.835	73.216	1.0
50.725	45.961	1.0
24.422	60.595	1.0
69.46	39.16	1.0
20.53	10.755	1.0
66.718	69.188	1.0
63.583	54.925	1.0
22.031	21.589	1.0
26.593	17.797	1.0
14.39	36.6	1.0
34.355	38.353	1.0
70.683	49.578	1.0
27.148	63.08	1.0
38.241	12.341	1.0
24.429	26.139	1.0
42.461	76.165	1.0
54.878	24.711	1.0
10.829	3.613	1.0
49.422	43.812	1.0
76.499	28.211	1.0
67.352	76.447	1.0
74.249	18.767	1.0
46.785	27.469	1.0
0.751	59.913	1.0
25.119	38.612	1.0
61.711	43.413	1.0
0.852	14.781	1.0
76.208	11.46	1.0
5.106	41.331	1.0
33.94	68.0	1.0
25.346	66.91	1.0
58.139	40.647	1.0
48.784	56.945	1.0
8.946	20.556	1.0
31.127	71.204	1.0
3.442	32.998	1.0
69.518	9.009	1.0
57.99	21.801	1.0
38.484	51.184	1.0
61.173	19.196	1.0
37.549	63.288	1.0
23.233	75.93	1.0
65.163	25.537	1.0
33.289	31.457	1.0
24.734	8.909	1.0
52.53	12.699	1.0
65.638	53.029	1.0
