91
22.786	11.554
29.439	25.546
32.69	62.565	1.0
11.897	25.185	1.0
30.45	17.555	1.0
14.988	61.099	1.0
32.508	27.396	1.0
30.011	9.149	1.0
19.124	38.528	1.0
15.486	41.646	1.0
60.664	35.655	1.0
55.636	61.206	1.0
16.415	64.52	1.0
28.939	22.696	1.0
5.427	32.048	1.0
57.748	59.266	1.0
1.626	43.124	1.0
6.101	18.855	1.0
37.959	2.201	1.0
52.224	40.51	1.0
57.41	51.374	1.0
56.332	30.22	1.0
15.388	55.283	1.0
10.11	31.99	1.0
66.05	23.261	1.0
17.033	43.691	1.0
46.651	49.735	1.0
46.749	60.869	1.0
40.082	17.13	1.0
66.617	44.031	1.0
49.881	10.006	1.0
61.199	8.318	1.0
62.943	65.362	1.0
12.143	61.831	1.0
56.775	17.608	1.0
67.078	49.513	1.0
64.124	29.71	1.0
9.782	53.883	1.0
33.583	39.5	1.0
7.809	28.086	1.0
43.282	1.485	1.0
13.11	21.781	1.0
49.276	13.671	1.0
66.848	30.238	1.0
16.554	51.378	1.0
43.513	54.757	1.0
54.182	5.973	1.0
64.205	39.91	1.0
39.012	24.355	1.0
56.123	35.758	1.0
5.384	3.669	1.0
60.954	62.383	1.0
54.751	53.965	1.0
41.829	7.213	1.0
3.966	10.861	1.0
60.148	18.108	1.0
40.708	64.656	1.0
43.976	12.359	1.0
66.217	9.073	1.0
22.748	19.566	1.0
1.551	38.176	1.0
46.238	19.117	1.0
12.66	14.976	1.0
28.011	18.709	1.0
22.017	55.159	1.0
58.862	25.74	1.0
44.567	27.859	1.0
53.437	45.583	1.0
56.31	56.236	1.0
21.424	13.581	1.0
14.235	5.873	1.0
55.66	47.229	1.0
47.041	26.308	1.0
48.046	20.897	1.0
24.837	42.372	1.0
47.224	66.28	1.0
64.723	25.545	1.0
9.088	37.002	1.0
61.401	27.447	1.0
3.305	40.916	1.0
35.228	66.223	1.0
28.642	42.923	1.0
5.514	47.3	1.0
52.867	62.667	1.0
62.71	22.05	1.0
12.151	44.026	1.0
23.441	25.389	1.0
