83
44.153	41.065
29.776	7.646
47.664	17.472	1.0
61.491	25.16	1.0
13.415	2.185	1.0
61.36	3.193	1.0
24.079	42.55	1.0
43.44	13.392	1.0
10.935	26.539	1.0
62.764	22.822	1.0
8.481	1.485	1.0
32.742	53.435	1.0
59.291	10.914	1.0
12.721	33.085	1.0
3.181	6.519	1.0
50.253	21.758	1.0
5.381	31.643	1.0
31.988	35.818	1.0
56.06	58.745	1.0
9.036	13.92	1.0
44.882	33.348	1.0
17.163	51.196	1.0
62.059	14.621	1.0
37.333	54.176	1.0
24.195	10.044	1.0
32.466	50.018	1.0
41.991	16.801	1.0
8.663	49.214	1.0
10.365	37.17	1.0
4.203	44.086	1.0
37.208	47.115	1.0
52.722	61.485	1.0
39.485	15.6	1.0
17.274	12.008	1.0
24.304	64.146	1.0
53.678	10.957	1.0
27.461	23.636	1.0
18.548	58.088	1.0
18.402	45.159	1.0
47.306	31.324	1.0
36.535	57.759	1.0
12.569	18.93	1.0
51.981	2.928	1.0
5.223	3.402	1.0
17.807	9.145	1.0
20.251	29.529	1.0
28.999	4.463	1.0
34.715	29.182	1.0
62.955	34.823	1.0
25.219	29.643	1.0
24.345	19.528	1.0
56.088	8.768	1.0
18.34	40.204	1.0
15.372	8.333	1.0
58.343	47.272	1.0
49.165	38.996	1.0
12.139	29.377	1.0
37.714	26.811	1.0
50.342	26.555	1.0
63.565	31.96	1.0
41.472	44.658	1.0
45.327	16.545	1.0
50.799	18.247	1.0
16.451	21.977	1.0
14.782	35.468	1.0
53.478	46.702	1.0
0.173	61.028	1.0
39.801	39.637	1.0
21.464	46.436	1.0
19.583	63.421	1.0
22.249	54.5	1.0
30.492	60.117	1.0
26.348	49.97	1.0
9.062	23.188	1.0
64.197	52.77	1.0
31.555	56.933	1.0
37.425	33.85	1.0
14.481	15.43	1.0
32.919	10.927	1.0
20.926	36.453	1.0
10.314	41.35	1.0
5.504	41.306	1.0
47.02	24.846	1.0
11.569	62.27	1.0
28.737	52.187	1.0
0.011	0.185	0.191	0.186	0.143	0.2	0.141	0.164	0.14	0.023	0.026	0.12	0.177	0.105	0.187	0.184	0.077	0.103	0.159	0.083	0.004	0.101	0.053	0.003	0.177	0.139	0.105	0.129	0.062	0.015	0.008	0.154	0.128	0.125	0.177	0.113	0.089	0.042	0.069	0.031	0.121	0.149	0.011	0.114	0.101	0.061	0.035	0.095	0.035	0.134	0.068	0.096	0.156	0.045	0.137	0.001	0.183	0.011	0.005	0.148	0.104	0.143	0.102	0.164	0.08	0.082	0.016	0.045	0.177	0.165	0.146	0.112	0.146	0.174	0.185	0.116	0.019	0.124	0.024	0.173	0.054	0.052	0.025
0.9273618495495703:0.018:0.121	0.8455767262643882:4.955:0.904	0.2966479394838265:3.81:0.386	0.9767292357659824:2.823:0.205	0.4929503017546495:2.074:0.322	0.282842712474619:5.519:0.225	0.9115920140062659:0.219:0.092	0.36055512754639896:0.001:0.378	0.910494371207203:1.91:0.103	0.9289779329994874:4.448:0.591	0.7259476565152615:2.905:0.152	0.6252999280345393:5.479:0.395	0.7314369419163897:0.225:0.979	0.4171330722922842:3.56:0.499	0.7529940238806679:0.355:0.429	0.4949747468305833:2.544:0.502	0.3065941943351178:2.639:0.416	0.8306623862918074:3.37:0.21	0.8043631020876082:5.81:0.157	0.8654478609367522:0.168:0.807	0.552268050859363:4.159:0.317	0.5974947698515862:3.917:0.65	0.6862943974709396:4.491:0.834	0.8142481194328913:5.024:0.87	0.7134423592694787:3.222:0.303	0.29832867780352595:5.021:0.0	0.8497058314499201:4.6:0.828	0.7028513356322231:4.701:0.56	0.4381780460041329:3.391:0.185	0.7880355321938218:4.467:0.023	0.4527692569068708:2.575:0.034	0.692098258919931:4.555:0.671	0.9523654760647301:1.024:0.144	0.23021728866442676:6.004:0.423	0.7021395872616784:0.626:0.532	0.3065941943351178:1.742:0.61	0.8774964387392122:4.772:0.701	0.9596874491208063:3.32:0.414	1.0:4.251:0.612	0.044721359549995794:5.257:0.336	0.7758865896508329:6.097:0.051	0.9289779329994874:1.341:0.705	0.9137833441248533:6.215:0.377	0.9591663046625439:1.934:0.859	0.8961026726887941:5.715:0.628	0.4604345773288535:3.463:0.189	0.19748417658131498:2.601:0.891	0.8318653737234168:3.867:0.185	0.817312669668102:3.163:0.346	0.8689073598491384:2.047:0.273
0.8888194417315589:1.592:0.622	0.8567379996241558:6.151:0.98	0.7348469228349535:2.469:0.743	0.7155417527999327:4.039:0.896	0.9777525249264253:2.373:0.193	0.6371812928829597:1.189:0.303	0.8706319543871567:2.169:0.726	0.8366600265340756:0.281:0.244	0.5805170109479997:1.967:0.597	0.34641016151377546:3.039:0.913	0.8780660567406077:3.006:0.777	0.9224966124599049:6.048:0.525	0.8689073598491384:0.051:0.011	0.11832159566199232:4.373:0.801	0.9460443964212251:3.085:0.765	0.4571651780264984:1.921:0.341	0.13784048752090222:1.494:0.504	0.34641016151377546:4.044:0.311	0.5385164807134504:5.801:0.024	0.5594640292279746:3.678:0.782	0.5385164807134504:2.096:0.264	0.8820430828479978:4.524:0.635	0.41952353926806063:1.221:0.39	0.8414273587185052:4.565:0.602	0.4949747468305833:0.612:0.407	0.4159326868617084:5.709:0.879	0.763544366752843:5.357:0.667	0.35916569992135944:0.976:0.294	0.726636084983398:4.619:0.935	0.9391485505499116:4.012:0.708	0.8056053624449132:2.899:0.589	0.458257569495584:5.056:0.019	0.7516648189186453:4.478:0.317	0.4312771730569565:3.585:0.605	0.5431390245600107:3.853:0.776	0.8910667763978186:3.779:0.855	0.22803508501982758:6.215:0.503	0.7720103626247513:5.672:0.646	0.916515138991168:5.495:0.493	0.6526867548832288:1.071:0.641	0.0:4.699:0.854	0.8167006795638168:2.799:0.872	0.5805170109479997:5.321:0.055	0.5567764362830022:0.791:0.468	0.7:1.581:0.568	0.37549966711037175:0.64:0.439	0.15491933384829668:2.327:0.123	0.9110433579144299:1.692:0.966	0.3924283374069717:4.221:0.527	0.48579831205964474:1.994:0.926
0.2810693864511039:1.881:0.701	0.5186520991955976:3.661:0.948	0.7368853370776216:5.016:0.817	0.7120393247567159:5.402:0.945	0.8318653737234168:1.59:0.064	0.7348469228349535:1.744:0.857	0.15811388300841897:0.272:0.668	0.7014271166700072:1.724:0.24	0.1:4.032:0.443	0.9311283477587824:2.491:0.818	0.867179335547152:3.848:0.57	0.9726253132630263:0.233:0.854	0.7726577508832743:2.519:0.151	0.6565059024867941:5.601:0.833	0.8831760866327847:5.003:0.494	0.7028513356322231:1.154:0.14	0.991463564635635:1.132:0.753	0.8740709353364863:0.819:0.656	0.9235799911215054:1.351:0.303	0.8712060605849801:3.224:0.991	0.7956129712366434:0.645:0.626	0.8526429498916882:3.396:0.379	0.9148770409186143:2.131:0.531	0.6300793600809346:1.319:0.797	0.8449852069711044:3.393:0.239	0.9591663046625439:0.141:0.539	0.30331501776206204:0.072:0.006	0.130384048104053:0.56:0.12	0.4381780460041329:3.514:0.878	0.9316651759081692:5.598:0.474	0.6024948132556828:0.474:0.789	0.44609416046390926:5.461:0.473	0.6442049363362563:4.077:0.06	0.3781534080237807:5.652:0.036	0.17888543819998318:0.981:0.891	0.7784600182411425:6.025:0.023	0.9327379053088815:5.711:0.78	0.7556454194925024:6.011:0.569	0.689202437604511:5.232:0.233	0.7286974680894672:1.48:0.241	0.6534523701081816:2.071:0.282	0.5576737397439474:4.585:0.405	0.8520563361656317:5.957:0.348	0.9412757300600074:3.863:0.517	0.42778499272414877:2.108:0.568	0.30331501776206204:1.557:0.926	0.5882176467941097:0.818:0.585	0.9093954035511725:5.739:0.963	0.9370165420097982:4.885:0.409	0.8360621986431392:1.134:0.561
