87
9.81	56.394
16.899	75.506
73.941	40.693	1.0
68.511	46.839	1.0
12.219	53.347	1.0
82.231	24.726	1.0
21.445	40.972	1.0
9.716	47.994	1.0
7.538	68.165	1.0
43.22	30.036	1.0
28.267	25.063	1.0
57.658	62.908	1.0
4.198	26.441	1.0
6.886	26.948	1.0
11.397	1.824	1.0
32.115	64.834	1.0
70.271	34.389	1.0
42.898	34.841	1.0
42.427	38.245	1.0
25.832	31.497	1.0
59.957	6.051	1.0
23.04	31.26	1.0
57.579	54.289	1.0
14.857	17.865	1.0
11.305	4.369	1.0
71.644	0.046	1.0
16.476	38.162	1.0
19.398	38.492	1.0
11.805	60.6	1.0
39.742	33.586	1.0
5.999	42.356	1.0
53.76	80.835	1.0
78.205	18.081	1.0
28.225	8.364	1.0
22.842	72.303	1.0
74.954	55.327	1.0
63.315	5.397	1.0
81.277	41.568	1.0
46.689	39.526	1.0
62.184	65.657	1.0
30.686	14.252	1.0
39.222	27.341	1.0
14.498	5.821	1.0
32.089	2.686	1.0
32.267	75.787	1.0
65.913	47.258	1.0
53.932	74.432	1.0
42.792	43.616	1.0
45.86	16.249	1.0
20.076	14.44	1.0
61.992	44.677	1.0
9.847	32.126	1.0
63.824	61.865	1.0
13.237	80.349	1.0
4.318	40.225	1.0
44.522	59.546	1.0
71.978	6.164	1.0
18.493	58.626	1.0
48.965	72.624	1.0
35.25	38.852	1.0
32.818	58.034	1.0
23.882	60.752	1.0
61.641	10.779	1.0
71.379	54.358	1.0
63.449	18.55	1.0
20.524	78.028	1.0
19.811	43.345	1.0
51.353	27.275	1.0
78.462	47.929	1.0
19.968	81.699	1.0
53.177	64.58	1.0
50.681	49.416	1.0
58.775	38.651	1.0
17.066	33.253	1.0
68.84	59.104	1.0
33.248	51.379	1.0
8.08	5.926	1.0
52.602	24.285	1.0
37.192	53.492	1.0
25.149	36.72	1.0
73.887	12.024	1.0
62.169	73.775	1.0
46.667	28.564	1.0
78.408	4.284	1.0
43.929	10.0	1.0
23.928	6.658	1.0
17.127	73.787	1.0
34.334	11.198	1.0
6.798	35.164	1.0
