88
32.369	31.488
48.017	33.687
80.467	68.278	1.0
48.6	4.032	1.0
81.768	56.607	1.0
21.702	41.172	1.0
61.395	58.162	1.0
25.893	34.059	1.0
1.938	69.92	1.0
82.165	0.702	1.0
30.336	22.487	1.0
65.226	40.48	1.0
44.829	20.802	1.0
29.975	47.174	1.0
62.887	62.364	1.0
57.788	30.379	1.0
6.559	3.801	1.0
39.287	35.024	1.0
22.65	31.788	1.0
47.139	27.341	1.0
67.061	27.244	1.0
60.691	52.464	1.0
62.754	47.265	1.0
71.751	10.384	1.0
2.186	50.547	1.0
34.443	12.598	1.0
8.34	21.948	1.0
38.093	81.773	1.0
64.987	55.498	1.0
4.92	78.004	1.0
18.471	42.393	1.0
13.522	52.169	1.0
37.68	2.545	1.0
7.928	63.686	1.0
74.878	34.234	1.0
80.837	33.454	1.0
76.977	77.96	1.0
7.857	10.354	1.0
65.171	36.516	1.0
32.572	39.604	1.0
48.647	58.346	1.0
0.696	81.542	1.0
14.674	9.86	1.0
9.648	59.582	1.0
12.032	60.886	1.0
62.36	68.57	1.0
69.273	63.114	1.0
11.015	15.155	1.0
21.72	27.782	1.0
64.627	2.36	1.0
26.503	4.486	1.0
15.965	77.792	1.0
35.72	56.397	1.0
42.143	39.099	1.0
52.136	38.247	1.0
46.24	30.731	1.0
80.073	45.741	1.0
30.075	9.988	1.0
52.142	45.241	1.0
36.615	75.374	1.0
63.08	78.372	1.0
40.546	44.089	1.0
27.756	14.73	1.0
36.847	27.408	1.0
47.227	82.375	1.0
12.612	67.499	1.0
15.195	34.063	1.0
58.52	2.397	1.0
48.51	9.15	1.0
58.964	36.39	1.0
67.073	75.166	1.0
13.984	47.458	1.0
73.446	23.437	1.0
55.395	18.536	1.0
30.785	64.059	1.0
48.567	46.406	1.0
20.982	15.474	1.0
42.785	16.165	1.0
10.647	79.686	1.0
41.744	11.021	1.0
59.673	49.37	1.0
0.854	8.43	1.0
39.607	76.328	1.0
1.469	59.172	1.0
50.195	7.078	1.0
44.513	45.489	1.0
74.461	25.998	1.0
73.021	67.015	1.0
50.959	64.731	1.0
11.085	44.749	1.0
